sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A4	A3m	A3	C31	C17d	C21	C21ac	C31.1	C17e	C31a	1379_C	C31.10	1393_C	C17f	C31.9	1373_C	C17	1405_C	1396_C	1394_C	1416_C	1412_C	1377_C	C21k	1417_C	1381_C	1392_C	1415_C	1424_C	1411_C	1408_C	C31b	1404_C	C3	1403_C	1410_C	1414_C	1370_C	1398_C	1397_C	1413_C	1420_C	1401_C	C3.14	C17.2	1395_C	1372_C	1409_C	1419_C	1388_C	1374_C	1426_C	1427_C	1378_C	1371_C	1402_C	1418_C	1441_C	1425_C	1432_C	1375_C	1423_C	C21.16	1431_C	1376_C	1406_C	1384_C	1382_C	1428_C	1422_C	1450_C	1407_C	1387_C	1380_C	1383_C	1429_C	1445_C	1449_C	1446_C	1447_C	1385_C	1448_C	1386_C	1437_C	C42.2	1438_C	1440_C	1439_C	1444_C	1389_C	1391_C	D1	D4	D6	D1ab	1365_D	1366_D	1367_D	1368_D	D17d	D17j	D4d	1369_D	D1r	1430_D	D17e	1399_D	D17l	D5m	D17c	D17k	D17	1433_D	1434_D	1451_D	1435_D	1442_D	D1.6	1443_D	1400_D	1436_D	1421_D	G3l	G3m	G3k	1390_G
223	WSH124	WSH124_S183_L001_R1_001.fastq.gz	a5be2c0d4f618be637aa60c7ca20b0b5468bb918f012d3c4172c7284919d4d51	WSH124_S183_L001_R2_001.fastq.gz	aad7566192ec189661bac22867f1b18efb287c78de408624a938732be29e8272	26702	11478	196	11478	196	0	0	0	0	10917	7	0	0	0	491	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	7/19/19	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4399	3635	1828	564	236	133	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	WSH089	WSH089_S12_L001_R1_001.fastq.gz	e503337e20165d27482aa11476562425a5d26477ea60b75ca47e776430df5b5f	WSH089_S12_L001_R2_001.fastq.gz	375b82e6b65832530b5ffeffc4bce9af8c4b3bff588fc8f8fe7e7f691bf707b7	43775	21565	313	21565	313	0	0	0	0	20448	8	0	0	0	985	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	12/4/19	NoData	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8546	6608	3164	1145	509	253	107	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214	WSH093	WSH093_S60_L001_R1_001.fastq.gz	a0dddcb4d6305688df5727d64a3c7b979baec2f19aea194a79c555e807543660	WSH093_S60_L001_R2_001.fastq.gz	51dde50499afbbbd56e6f4444332072f6e533a75da3522b4f9dbf228cd45c758	43911	20824	300	20824	300	0	0	0	0	19828	10	0	0	0	978	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	12/4/19	NoData	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8606	6181	3006	1050	349	241	166	121	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
224	WSH090	WSH090_S24_L001_R1_001.fastq.gz	89efb6e8b0ed1ded861274c23746dcb3a5ae448156e7c0276ac36168a93466e3	WSH090_S24_L001_R2_001.fastq.gz	38fec769e74094f3ffad97b37982bfdbc7bcb7c7be6fd565e627ff3db7d9253a	39826	18857	275	18850	273	7	2	0	0	18028	10	0	0	0	892	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	12/4/19	NoData	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7431	5830	2830	1039	362	192	161	102	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188	WSH095	WSH095_S84_L001_R1_001.fastq.gz	a8ad4d7d00c342f733a43015453155bf38fa9189d8f71c78f7f5e6ab2c951b22	WSH095_S84_L001_R2_001.fastq.gz	4ba29a8fb61fdf72c6c85dc4f71fdd6b59ff75f77cb052defaa50ee63239e4da	34478	16122	223	16122	223	0	0	0	0	15478	13	0	0	12	727	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	12/4/19	NoData	0	0	0	11	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6093	5247	2671	693	352	150	144	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	WSH103	WSH103_S121_L001_R1_001.fastq.gz	f56fd4f7f6c476873bb4adf29d0df043a3150bc9359a56eb2704373907d873d9	WSH103_S121_L001_R2_001.fastq.gz	9ceb7ac07f6946e8a639b57c8cce9372fde8dafbf0e99a30e3fe2d75cbef0ba1	31247	16262	241	16262	241	0	0	0	0	15563	15	0	0	18	704	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	12/4/19	NoData	0	0	0	37	13	0	0	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6133	5249	2671	724	325	155	140	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	WSH111	WSH111_S122_L001_R1_001.fastq.gz	59af6fadebf015113b037188dd38fa4fad5089bc2147837c9105e50ab69ab065	WSH111_S122_L001_R2_001.fastq.gz	76bfc5e1374e0571b2d01d482ef08cc195e9213f29a51d3fd8f79a9ddc75941f	32101	17596	260	17596	260	0	0	0	0	16844	11	0	0	0	874	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	7/19/19	NoData	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	6891	5459	2733	873	420	176	109	98	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187	WSH125	WSH125_S100_L001_R1_001.fastq.gz	ad1263672b2ee29d95987615e78ed98e67a3f06d8123fdb40b41387901155715	WSH125_S100_L001_R2_001.fastq.gz	2679fa13ca32b53f7607d524b8d7a488d56446dbdcee75a4e7ddac4f80c9c9b2	82092	43789	608	43789	608	0	0	0	0	41868	15	0	0	6	2053	0	0	5	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	7/19/19	NoData	14	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17243	13657	6695	2065	896	441	483	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	20	17	5
211	WSH126	WSH126_S112_L001_R1_001.fastq.gz	8b3d7130ef7eeb82eee5784cdc93705e00c42702687a5a9c388e4ae6190c8d01	WSH126_S112_L001_R2_001.fastq.gz	7f86bfb7d68bb88e9347155b1e3a06162e4bf7154336dc9ddb74742ac680f5bc	38462	21940	315	21940	315	0	0	0	0	20885	10	0	0	5	1096	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	7/19/19	NoData	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8630	6883	3190	1075	483	205	257	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192	WSH091	WSH091_S36_L001_R1_001.fastq.gz	c0c3848b534973b6db8d84fc52a1e195b08b23acd9f248a4033476c7cc01b4dd	WSH091_S36_L001_R2_001.fastq.gz	4f4ecbd4455168d9033c937a79bd25577d96bf75da310c1b9ad31be1aa4e7293	30296	14411	212	14411	212	0	0	0	0	13773	20	0	0	39	654	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	acroporidate	montipora	capitata	999.00000000	999.00000000	12/4/19	NoData	0	0	0	21	17	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	5	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5744	4390	2077	827	291	109	106	90	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
